股票代码,股票名称,year,statDate,indicator,value
601088,中国神华,2024,2024-12-31,npMargin,0.203517
600028,中国石化,2024,2024-12-31,npMargin,0.018717
600941,中国移动,2024,2024-12-31,npMargin,0.133101
600519,贵州茅台,2020,2020-12-31,gpMargin,0.914092
858,五粮液,2020,2020-12-31,gpMargin,0.741597
600276,恒瑞医药,2020,2020-12-31,gpMargin,0.879259
625,长安汽车,2020,2020-12-31,gpMargin,0.142991
600887,伊利股份,2020,2020-12-31,gpMargin,0.359687
601088,中国神华,2020,2020-12-31,gpMargin,0.404007
600028,中国石化,2020,2020-12-31,gpMargin,0.198285
600519,贵州茅台,2021,2021-12-31,gpMargin,0.915403
858,五粮液,2021,2021-12-31,gpMargin,0.753526
600276,恒瑞医药,2021,2021-12-31,gpMargin,0.85556
625,长安汽车,2021,2021-12-31,gpMargin,0.166377
600887,伊利股份,2021,2021-12-31,gpMargin,0.306211
601088,中国神华,2021,2021-12-31,gpMargin,0.330426
600028,中国石化,2021,2021-12-31,gpMargin,0.191301
600941,中国移动,2021,2021-12-31,gpMargin,0.288064
600519,贵州茅台,2022,2022-12-31,gpMargin,0.918667
858,五粮液,2022,2022-12-31,gpMargin,0.754241
600276,恒瑞医药,2022,2022-12-31,gpMargin,0.836118
625,长安汽车,2022,2022-12-31,gpMargin,0.204888
600887,伊利股份,2022,2022-12-31,gpMargin,0.322576
601088,中国神华,2022,2022-12-31,gpMargin,0.390308
600028,中国石化,2022,2022-12-31,gpMargin,0.150325
600941,中国移动,2022,2022-12-31,gpMargin,0.277827
600519,贵州茅台,2023,2023-12-31,gpMargin,0.919649
858,五粮液,2023,2023-12-31,gpMargin,0.757936
600276,恒瑞医药,2023,2023-12-31,gpMargin,0.845518
625,长安汽车,2023,2023-12-31,gpMargin,0.183579
600887,伊利股份,2023,2023-12-31,gpMargin,0.325781
601088,中国神华,2023,2023-12-31,gpMargin,0.358966
600028,中国石化,2023,2023-12-31,gpMargin,0.156452
600941,中国移动,2023,2023-12-31,gpMargin,0.282323
600519,贵州茅台,2024,2024-12-31,gpMargin,0.919312
858,五粮液,2024,2024-12-31,gpMargin,0.770548
600276,恒瑞医药,2024,2024-12-31,gpMargin,0.862489
625,长安汽车,2024,2024-12-31,gpMargin,0.149399
600887,伊利股份,2024,2024-12-31,gpMargin,0.338793
601088,中国神华,2024,2024-12-31,gpMargin,0.3404
600028,中国石化,2024,2024-12-31,gpMargin,0.154697
600941,中国移动,2024,2024-12-31,gpMargin,0.29016
600036,招商银行,2020,2020-12-31,netProfit,97959000000.0
601398,工商银行,2020,2020-12-31,netProfit,317685000000.0
600519,贵州茅台,2020,2020-12-31,netProfit,49523329882.4
858,五粮液,2020,2020-12-31,netProfit,20913340409.54
600276,恒瑞医药,2020,2020-12-31,netProfit,6308893128.7
625,长安汽车,2020,2020-12-31,netProfit,3288478642.7
600887,伊利股份,2020,2020-12-31,netProfit,7098938695.41
601088,中国神华,2020,2020-12-31,netProfit,47265000000.0
600028,中国石化,2020,2020-12-31,netProfit,41750000000.0
600036,招商银行,2021,2021-12-31,netProfit,120834000000.0
601398,工商银行,2021,2021-12-31,netProfit,350216000000.0
600519,贵州茅台,2021,2021-12-31,netProfit,55720529956.46
858,五粮液,2021,2021-12-31,netProfit,24507450330.26
600276,恒瑞医药,2021,2021-12-31,netProfit,4484026883.93
625,长安汽车,2021,2021-12-31,netProfit,3604218189.98
600887,伊利股份,2021,2021-12-31,netProfit,8732025624.25
601088,中国神华,2021,2021-12-31,netProfit,59359000000.0
600028,中国石化,2021,2021-12-31,netProfit,85030000000.0
600941,中国移动,2021,2021-12-31,netProfit,116095000000.0
600036,招商银行,2022,2022-12-31,netProfit,139294000000.0
601398,工商银行,2022,2022-12-31,netProfit,361038000000.0
600519,贵州茅台,2022,2022-12-31,netProfit,65375136766.75
858,五粮液,2022,2022-12-31,netProfit,27970631932.22
600276,恒瑞医药,2022,2022-12-31,netProfit,3815070903.04
625,长安汽车,2022,2022-12-31,netProfit,7744682355.97
600887,伊利股份,2022,2022-12-31,netProfit,9318205866.77
601088,中国神华,2022,2022-12-31,netProfit,81655000000.0
600028,中国石化,2022,2022-12-31,netProfit,75758000000.0
600941,中国移动,2022,2022-12-31,netProfit,125594000000.0
600036,招商银行,2023,2023-12-31,netProfit,148006000000.0
601398,工商银行,2023,2023-12-31,netProfit,365116000000.0
600519,贵州茅台,2023,2023-12-31,netProfit,77521476277.8
858,五粮液,2023,2023-12-31,netProfit,31520777582.15
600276,恒瑞医药,2023,2023-12-31,netProfit,4277820702.5
625,长安汽车,2023,2023-12-31,netProfit,9501899040.97
600887,伊利股份,2023,2023-12-31,netProfit,10284306198.28
601088,中国神华,2023,2023-12-31,netProfit,69598000000.0
600028,中国石化,2023,2023-12-31,netProfit,70046000000.0
600941,中国移动,2023,2023-12-31,netProfit,131935000000.0
600036,招商银行,2024,2024-12-31,netProfit,149559000000.0
601398,工商银行,2024,2024-12-31,netProfit,366946000000.0
600519,贵州茅台,2024,2024-12-31,netProfit,89334728025.9
858,五粮液,2024,2024-12-31,netProfit,33193460484.32
600276,恒瑞医药,2024,2024-12-31,netProfit,6336994647.53
625,长安汽车,2024,2024-12-31,netProfit,6104174527.85
600887,伊利股份,2024,2024-12-31,netProfit,8463710355.65
601088,中国神华,2024,2024-12-31,netProfit,68865000000.0
600028,中国石化,2024,2024-12-31,netProfit,57547000000.0
600941,中国移动,2024,2024-12-31,netProfit,138526000000.0
